year,gas_nominal_usd_gal,cpi_all,cpi_new_vehicles,vmt_million_miles,gas_real_2024_usd_gal,new_vehicle_real_price_index_1975,cafe_car_standard_mpg
1976,0.6143333333333333,56.93333333333334,66.96666666666667,1409163.0,3.384928109875097,100.51953418156421,
1977,0.6563333333333333,60.61666666666667,70.52499999999999,1463409.0,3.396599890935753,99.42816883864586,
1978,0.6702499999999999,65.24166666666666,75.89999999999999,1548212.0,3.2227287705965,99.42031294684668,18.0
1979,0.90325,72.58333333333333,81.925,1529132.0,3.9037593897818605,96.45793008617021,19.0
1980,1.2451666666666668,82.38333333333334,88.46666666666665,1520856.0,4.741329158743004,91.76957083174757,20.0
1981,1.3782499999999998,90.93333333333334,93.86666666666667,1550270.0,4.754631578537389,88.21586185114683,22.0
1982,1.2954999999999999,96.53333333333335,97.47500000000001,1592481.0,4.209903055075967,86.29275568202584,24.0
1983,1.2411666666666668,99.58333333333333,99.875,1649106.0,3.909807945048815,85.7094148349002,26.0
1984,1.21225,103.93333333333334,102.63333333333333,1716768.0,3.6588896973220018,84.39019200839995,27.0
1985,1.2017499999999999,107.60000000000001,106.05,1774762.0,3.503594533379801,84.22806012684066,27.5
1986,0.9274166666666667,109.69166666666666,110.60000000000001,1838241.0,2.652242571475601,86.16678491116446,26.0
1987,0.9484166666666667,113.61666666666667,114.38333333333333,1924327.0,2.6185997028262675,86.03578029382902,26.0
1988,0.9461666666666666,118.27499999999999,116.51666666666667,2025586.0,2.5094969240705516,84.1886396297576,26.0
1989,1.0221666666666667,123.94166666666666,119.15833333333335,2107040.0,2.5871187469463686,82.16095623549387,26.5
1990,1.1643333333333332,130.65833333333333,121.39999999999999,2147501.0,2.79545301656143,79.40355917722893,27.5
1991,1.1400833333333333,136.16666666666666,125.98333333333333,2172214.0,2.6265022143002863,79.06798765191779,27.5
1992,1.1264999999999998,140.30833333333334,129.20833333333334,2247152.0,2.518602967868385,78.6983189516819,27.5
1993,1.1079166666666667,144.475,132.74166666666667,2296705.0,2.405616384514814,78.51867459449886,27.5
1994,1.1118333333333335,148.225,137.58333333333334,2357588.0,2.353044886527614,79.32366379595257,27.5
1995,1.1471666666666667,152.38333333333333,140.95000000000002,2422774.0,2.3615711267271866,79.04711204586027,27.5
1996,1.2309166666666667,156.85833333333332,143.66666666666666,2482201.0,2.4616881580159027,78.27206942259289,27.5
1997,1.2336666666666667,160.525,144.25,2560373.0,2.4108330267005833,76.79475164165741,27.5
1998,1.0593333333333332,163.00833333333333,143.44166666666666,2625364.0,2.0386131049878156,75.20105140866632,27.5
1999,1.1650833333333332,166.58333333333334,142.85833333333332,2679458.0,2.194004036101384,73.28792538635021,27.5
2000,1.51,172.1916666666667,142.75,2746926.0,2.7509126361128584,70.84714997642902,27.5
2001,1.461,177.04166666666666,142.10833333333332,2795610.0,2.588729704871735,68.59657839576343,27.5
2002,1.3575,179.86666666666667,140.0,2855509.0,2.367560755652335,66.51747366694842,27.5
2003,1.5907499999999999,184.0,137.85,2890221.0,2.7120399925271736,64.02466936847797,27.5
2004,1.8801666666666668,188.90833333333333,137.05833333333334,2964789.0,3.122174792153749,62.00300337994642,27.5
2005,2.2953333333333332,195.26666666666665,137.90833333333333,2989428.0,3.6874796443609883,60.35604786058261,27.5
2006,2.5889166666666665,201.5583333333333,137.58333333333334,3014116.0,4.029297119871557,58.334229459569535,27.5
2007,2.8005833333333334,207.34416666666667,136.25441666666666,3029821.0,4.237099463117549,56.15871528751509,27.5
2008,3.26625,215.25424999999998,134.19366666666667,2973508.0,4.7600297642206835,53.276867465876244,27.5
2009,2.3501666666666665,214.56466666666665,135.62341666666666,2956763.0,3.435994314197947,54.0175486491635,27.5
2010,2.7875,218.0761666666667,138.0055,2967266.0,4.009762519899393,54.08123334445434,27.5
2011,3.526666666666667,224.923,141.88341666666668,2950402.0,4.918611559412678,53.90836591754407,
2012,3.644083333333333,229.58608333333333,144.23208333333332,2968567.0,4.979144398693832,53.68768954032438,
2013,3.526,232.95174999999998,145.78333333333333,2988281.0,4.748192428975815,53.48109562918122,
2014,3.36725,236.715,146.27483333333333,3025656.0,4.4623287569792085,52.80830523765639,
2015,2.44775,237.00175000000002,147.135,3095372.0,3.239869272941374,53.054574733826215,
2016,2.14175,240.00541666666666,147.3575,3174407.0,2.7993661884367196,52.46982291345525,
2017,2.4075,245.121,146.99224999999998,3212346.0,3.0810429797936534,51.247456434126704,
2018,2.735333333333333,251.0995,146.28666666666666,3240325.0,3.4172471545697576,49.787153062988274,
2019,2.63625,255.65258333333335,146.834,3261771.0,3.2348071006844896,49.08342290089359,
2020,2.1744166666666667,258.85575,147.60025,2903621.0,2.635098976564275,48.72901958415024,
2021,3.0505,270.97341666666665,156.24041666666668,3140088.0,3.531476515992805,49.274825856903036,
2022,4.093666666666667,292.62641666666667,172.4801666666667,3196191.0,4.3884477105858615,50.37140107786175,
2023,3.657916666666667,304.70300000000003,178.89874999999998,3246816.0,3.765902377570217,50.17518389583754,
2024,3.44875,313.6981666666667,177.88649999999998,3294031.0,3.44875,48.46066915152101,
2025,3.2568333333333332,321.9619090909091,178.46241666666666,3323919.0,3.173240737360267,47.36970420089544,
2026,3.8674285714285714,330.87257142857146,179.10714285714286,,3.666684268609236,46.26052278045939,
1970,,38.84166666666667,53.13333333333333,1120328.0,,116.90352385519655,
1971,,40.483333333333334,55.275,1185615.0,,116.68388586750183,
1972,,41.80833333333333,54.791666666666664,1268362.0,,111.99794474916536,
1973,,44.425000000000004,54.80833333333334,1308288.0,,105.43324086267101,
1974,,49.31666666666666,57.98333333333333,1289645.0,,100.47727784708025,
1975,,53.824999999999996,62.98333333333333,1330075.0,,100.0,
